,acronym,expansion,language,type,doc_id
133,EUV,extreem ultraviolet,nl,in_expansion,ASML
134,F,fluor,nl,in_expansion,ASML
135,IC,Integrated Circuit,en,out_expansion,ASML
136,IMEC,Interuniversitair Micro-Electronica Centrum,nl,out_expansion,ASML
137,KrF,Krypton Fluoride,en,out_expansion,ASML
138,Laser,Light Amplificatin by Stimulated Emission of Radiation,en,out_expansion,ASML
139,MP,Mpeg,en,out_expansion,ASML
140,,Numerical Aperture,en,in_expansion,ASML
141,NASDAQ,National Association of Securities Dealers Automated Quotations,en,out_expansion,ASML
142,NatLab,Natuurkundig Laboratorium,nl,out_expansion,ASML
143,Nikon,Nippon Kogaku,en,out_expansion,ASML
144,PAS,Philips Automatic Stepper,en,in_expansion,ASML
145,R&D,Research & Development,en,out_expansion,ASML
146,SMT,Semiconductor Manufacturing Technology,en,out_expansion,ASML
147,SVGL,Silicon Valley Group Lithography,en,in_expansion,ASML
148,TSMC,Taiwan Semiconductor Manufacturing Company,en,out_expansion,ASML
149,US,United States,en,out_expansion,ASML
150,excimer,Excited Dimer,en,out_expansion,ASML
151,nm,nanometer,nl,in_expansion,ASML
152,AF,audio frequency,en,out_expansion,Radiogolf
153,AM,Amplitudemodulatie,nl,out_expansion,Radiogolf
154,ELF,extreem lage frequentie,nl,out_expansion,Radiogolf
155,FM,Frequentiemodulatie,nl,out_expansion,Radiogolf
156,GHz,Giga Herz,nl,out_expansion,Radiogolf
157,Hz,Herz,nl,out_expansion,Radiogolf
158,RF,radiofrequentie,nl,in_expansion,Radiogolf
159,SLF,Super Low Frequency,en,out_expansion,Radiogolf
160,ULF,Ultra lage frequentie,nl,out_expansion,Radiogolf
161,UMTS,Universal Mobile Telecommunications System,en,out_expansion,Radiogolf
162,VLF,Very Low Frequency,en,out_expansion,Radiogolf
163,radar,radio detection and ranging,en,out_expansion,Radiogolf
164,AM,Amplitudemodulatie,nl,out_expansion,Radiogolf
165,ELF,extreem lage frequentie,nl,out_expansion,Radiogolf
166,FM,Frequentiemodulatie,nl,out_expansion,Radiogolf
167,GHz,Giga Herz,nl,out_expansion,Radiogolf
168,Hz,Herz,nl,out_expansion,Radiogolf
169,RF,radiofrequentie,nl,in_expansion,Radiogolf
170,SLF,Super Low Frequency,en,out_expansion,Radiogolf
171,ULF,Ultra lage frequentie,nl,out_expansion,Radiogolf
172,UMTS,Universal Mobile Telecommunications System,en,out_expansion,Radiogolf
173,VLF,Very Low Frequency,en,out_expansion,Radiogolf
174,IAC,International Advisory Committee,en,in_expansion,Memory_of_the_World
175,UNESCO,"United Nations Educational, Scientific and Cultural Organisation",en,out_expansion,Memory_of_the_World
176,IAC,International Advisory Committee,en,in_expansion,Memory_of_the_World
177,IAC-vergaderingen,International Advisory Committee-vergaderingen,en,in_expansion,Memory_of_the_World
178,UNESCO,"United Nations Educational, Scientific and Cultural Organisation",en,out_expansion,Memory_of_the_World
179,ACFF,Association des Clubs Francophones de Football,other language,out_expansion,Koninklijke_Belgische_Voetbalbond
180,BVB,Belgische Voetbalbond,nl,in_expansion,Koninklijke_Belgische_Voetbalbond
181,FIFA,Fédération Internationale de Football Association,en,out_expansion,Koninklijke_Belgische_Voetbalbond
182,KBVB,Koninklijke Belgische Voetbalbond,nl,out_expansion,Koninklijke_Belgische_Voetbalbond
183,UBSFA,Union Belge des Sociétés de Football-Association,other language,in_expansion,Koninklijke_Belgische_Voetbalbond
184,UEFA,Union of European Football Associations,en,out_expansion,Koninklijke_Belgische_Voetbalbond
185,ACFF,Association des Clubs Francophones de Football,other language,out_expansion,Koninklijke_Belgische_Voetbalbond
186,BVB,Belgische Voetbalbond,nl,in_expansion,Koninklijke_Belgische_Voetbalbond
187,FIFA,Fédération Internationale de Football Association,en,out_expansion,Koninklijke_Belgische_Voetbalbond
188,KBVB,Koninklijke Belgische Voetbalbond,nl,out_expansion,Koninklijke_Belgische_Voetbalbond
189,UBSFA,Union Belge des Sociétés de Football-Association,other language,in_expansion,Koninklijke_Belgische_Voetbalbond
190,UEFA,Union of European Football Associations,en,out_expansion,Koninklijke_Belgische_Voetbalbond
191,OLVE,Onze-Lieve-Vrouw-van-Lourdescollege Edegem,nl,out_expansion,Wim_Helsen
192,VARA,Vereeniging van Arbeiders Radio Amateurs,nl,out_expansion,Wim_Helsen
193,VPRO,Vrijzinnig Protestantse Radio Omroep,en,out_expansion,Wim_Helsen
194,VSCD,Vereniging van Schouwburg- en Concertgebouwdirecties,nl,out_expansion,Wim_Helsen
195,OLVE,Onze-Lieve-Vrouw-van-Lourdescollege Edegem,nl,out_expansion,Wim_Helsen
196,VARA,Vereeniging van Arbeiders Radio Amateurs,nl,out_expansion,Wim_Helsen
197,VPRO,Vrijzinnig Protestantse Radio Omroep,nl,out_expansion,Wim_Helsen
198,VSCD,Vereniging van Schouwburg- en Concertgebouwdirecties,nl,out_expansion,Wim_Helsen
199,dvd,Digital Versatile Disc,en,out_expansion,Wim_Helsen
200,tv,televisie,nl,out_expansion,Wim_Helsen
201,DRG,Deutsche Reichsbahn Gesellschaft,en,in_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
202,HR-Rail,Human Resource-Rail,en,out_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
203,IC,InterCity,en,in_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
204,IFB,International Freightbridge Belgium,none_of_above,out_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
205,L-trein,Lokale trein,nl,in_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
206,MIVB,Maatschappij voor het Intercommunaal Vervoer te Brussel,en,out_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
207,NMBS,Nationale Maatschappij der Belgische Spoorwegen,nl,in_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
208,NS,Nederlandse Spoorwegen,nl,out_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
209,P-treinen,piekuurtreinen,nl,in_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
210,S-trein,Stoppen trein,nl,in_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
211,SNCB,Société Nationale des Chemins de fer Belges,en,in_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
212,TEC,Transport en commun,en,out_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
213,BeNe,België-Nederland,en,out_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
214,DRG,Deutsche Reichsbahn Gesellschaft,nl,in_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
215,EU,Europese Unie,nl,out_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
216,HR-Rail,Human Resource-Rail,en,out_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
217,IC,InterCity,nl,in_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
218,IFB,International Freightbridge Belgium,nl,out_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
219,MIVB,Maatschappij voor het Intercommunaal Vervoer te Brussel,nl,out_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
220,NMBS,Nationale Maatschappij der Belgische Spoorwegen,nl,in_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
221,NS,Nederlandse Spoorwegen,nl,out_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
222,SNCB,Société Nationale des Chemins de fer Belges,nl,in_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
223,TEC,Transport en commun,en,out_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
224,TRW,The RailWay,en,out_expansion,Nationale_Maatschappij_der_Belgische_Spoorwegen
225,ABS,antiblokkeersysteem,nl,out_expansion,BMW_Motorrad
226,BMW,Bayerische Motoren Werke,none_of_above,in_expansion,BMW_Motorrad
227,CS,City Scarver,en,in_expansion,BMW_Motorrad
228,DDR,Duitse Democratische Republiek,nl,out_expansion,BMW_Motorrad
229,EMW,Eisenacher Motoren Werke,none_of_above,in_expansion,BMW_Motorrad
230,FFE,Fahrzeugfabrik Eisenach,none_of_above,in_expansion,BMW_Motorrad
231,GSMhouder,Global system for mobile communications houder,none_of_above,out_expansion,BMW_Motorrad
232,HP,High Performance,en,in_expansion,BMW_Motorrad
233,SMW,Stockdorfer Motoren- Werk,none_of_above,out_expansion,BMW_Motorrad
234,V,Volt,nl,out_expansion,BMW_Motorrad
235,cc,cubic centimeter,en,out_expansion,BMW_Motorrad
236,kg,kilogram,nl,out_expansion,BMW_Motorrad
237,pk,paardenkracht,nl,out_expansion,BMW_Motorrad
238,ABS,antiblokkeersysteem,nl,out_expansion,BMW_Motorrad
239,BMW,Bayerische Motoren Werke,other language,in_expansion,BMW_Motorrad
240,DDR,Duitse Democratische Republiek,nl,out_expansion,BMW_Motorrad
241,EICMA,Esposizione Internazionale Ciclo e Motociclo e Accessori,none_of_above,out_expansion,BMW_Motorrad
242,EMW,Eisenacher Motoren Werke,en,in_expansion,BMW_Motorrad
243,GSM,global system for mobile communications,en,out_expansion,BMW_Motorrad
244,GmbH,Gesellschaft mit beschränkter Haftung,none_of_above,out_expansion,BMW_Motorrad
245,HP,High Performance,en,in_expansion,BMW_Motorrad
246,SMW,Stockdorfer Motoren- Werk,none_of_above,out_expansion,BMW_Motorrad
247,cc,cubic centimeter,en,out_expansion,BMW_Motorrad
248,kg,kilogram,nl,out_expansion,BMW_Motorrad
249,pk,paardenkracht,nl,out_expansion,BMW_Motorrad
250,N.V.,Naamloze Vennootschap,nl,out_expansion,Brouwerij_Barbarossa_Groningen
251,W.,Willem,nl,out_expansion,Brouwerij_Barbarossa_Groningen
252,N.V.,Naamloze Vennootschap,nl,out_expansion,Brouwerij_Barbarossa_Groningen
253,NCRV,Nederlandse Christelijke Radio Vereniging,nl,out_expansion,Swiebertje
254,dvd,digital versatile disk,en,out_expansion,Swiebertje
255,tv,televisie,nl,out_expansion,Swiebertje
256,NCRV,Nederlandse Christelijke Radio Vereniging,nl,in_expansion,Swiebertje
257,dvd,digital versatile disk,en,out_expansion,Swiebertje
258,tv,televisie,nl,out_expansion,Swiebertje
259,ABN,Algemene Bank Nederland,nl,out_expansion,Rotterdam_Ahoy
260,GGD,Gemeentelijke Gezondheidsdienst,nl,out_expansion,Rotterdam_Ahoy
261,MC,Medisch Centrum,nl,out_expansion,Rotterdam_Ahoy
262,MTV,Music Television,en,out_expansion,Rotterdam_Ahoy
263,MWh,Megawattuur,nl,out_expansion,Rotterdam_Ahoy
264,m,meter,nl,out_expansion,Rotterdam_Ahoy
265,ABN,Algemene Bank Nederland,nl,out_expansion,Rotterdam_Ahoy
266,AMRO,Amsterdam Rotterdam,nl,out_expansion,Rotterdam_Ahoy
267,GGD,Gemeentelijke Gezondheidsdienst,nl,out_expansion,Rotterdam_Ahoy
268,MC,Medisch Centrum,nl,out_expansion,Rotterdam_Ahoy
269,MTV,Music Television,en,out_expansion,Rotterdam_Ahoy
270,MWh,Megawattuur,nl,out_expansion,Rotterdam_Ahoy
271,horeca,"hotel, restaurants & cafés",nl,out_expansion,Rotterdam_Ahoy
272,m,meter,nl,out_expansion,Rotterdam_Ahoy
273,IHOP,International House of Pancakes,en,in_expansion,Pannenkoek
274,IHOP,International House of Pancakes,en,in_expansion,Pannenkoek
275,panza,pannenkoek en pizza,nl,in_expansion,Pannenkoek
276,ABC,American Broadcasting Company,en,in_expansion,American_Broadcasting_Company
277,CBS,Columbia Broadcasting System,en,out_expansion,American_Broadcasting_Company
278,NBC,National Broadcasting Company,en,out_expansion,American_Broadcasting_Company
279,ABC,American Broadcasting Company,en,in_expansion,American_Broadcasting_Company
280,CBS,Columbia Broadcasting System,en,out_expansion,American_Broadcasting_Company
281,NBC,National Broadcasting Company,en,out_expansion,American_Broadcasting_Company
282,,,en,in_expansion,Obligatie
283,ISIN-code,International Securities Identification Number-code,en,out_expansion,Obligatie
284,OLO,Obligation Linéaire,none_of_above,in_expansion,Obligatie
285,ISIN-code,International Securities Identification Number-code,en,out_expansion,Obligatie
286,OLO,Obligation Linéaire,none_of_above,in_expansion,Obligatie
287,A,Autosnelweg,nl,out_expansion,VU_medisch_centrum
288,AMC,Academisch Medisch Centrum,nl,in_expansion,VU_medisch_centrum
289,AZVU,Academisch Ziekenhuis Vrije Universiteit,nl,in_expansion,VU_medisch_centrum
290,BV,Besloten Vennootschap,nl,out_expansion,VU_medisch_centrum
291,IC,Intensive Care,en,out_expansion,VU_medisch_centrum
292,IGZ,Inspectie voor de Gezondheidszorg,nl,in_expansion,VU_medisch_centrum
293,IOO,Instituut voor Onderwijs en Opleiden,nl,in_expansion,VU_medisch_centrum
294,MS,Multiple Sclerose,en,out_expansion,VU_medisch_centrum
295,RTL,Radio Télévision Luxembourg,none_of_above,out_expansion,VU_medisch_centrum
296,UMC,Universitair Medische Centra,nl,in_expansion,VU_medisch_centrum
297,VU,Vrije Universiteit,nl,out_expansion,VU_medisch_centrum
298,VUmc,Vrije Universiteit medisch centrum,nl,out_expansion,VU_medisch_centrum
299,e-learningmodules,electronic-learningmodules,en,out_expansion,VU_medisch_centrum
300,fte,fulltime-equivalent,en,out_expansion,VU_medisch_centrum
301,m,meter,nl,out_expansion,VU_medisch_centrum
302,A,Autosnelweg,nl,out_expansion,VU_medisch_centrum
303,AMC,Academisch Medisch Centrum,nl,in_expansion,VU_medisch_centrum
304,AZVU,Academisch Ziekenhuis Vrije Universiteit,nl,in_expansion,VU_medisch_centrum
305,BV,Besloten Vennootschap,nl,out_expansion,VU_medisch_centrum
306,e-learningmodules,electronic-learningmodules,en,out_expansion,VU_medisch_centrum
307,IC,Intensive Care,nl,out_expansion,VU_medisch_centrum
308,IGZ,Inspectie voor de Gezondheidszorg,nl,in_expansion,VU_medisch_centrum
309,IOO,Instituut voor Onderwijs en Opleiden,nl,in_expansion,VU_medisch_centrum
310,MS,Multiple Sclerose,nl,out_expansion,VU_medisch_centrum
311,RTL,Radio Télévision Luxembourg,none_of_above,out_expansion,VU_medisch_centrum
312,UMC,Universitair Medische Centra,nl,in_expansion,VU_medisch_centrum
313,VU,Vrije Universiteit,nl,out_expansion,VU_medisch_centrum
314,VUmc,Vrije Universiteit medisch centrum,nl,out_expansion,VU_medisch_centrum
315,fte,fulltime-equivalent,en,out_expansion,VU_medisch_centrum
316,m,meter,nl,out_expansion,VU_medisch_centrum
317,A,Autosnelweg,nl,out_expansion,Amsterdam
318,ACTA,Academisch Centrum Tandheelkunde Amsterdam,nl,in_expansion,Amsterdam
319,ADE,Amsterdam Dance Event,en,in_expansion,Amsterdam
320,AFAS,Applications For Administrative Solutions,en,out_expansion,Amsterdam
321,AFC,Amsterdam Football Club,en,out_expansion,Amsterdam
322,AT,Amstel Televisie,nl,in_expansion,Amsterdam
323,AUP,Algemeen Uitbreidingsplan,nl,in_expansion,Amsterdam
324,BC,Basketbalclub,nl,out_expansion,Amsterdam
325,BV,Besloten Vennootschap,nl,out_expansion,Amsterdam
326,CBS,Centraal Bureau voor de Statistiek,nl,in_expansion,Amsterdam
327,EK,Europees Kampioenschap,nl,out_expansion,Amsterdam
328,GVB,Gemeentevervoerbedrijf,nl,in_expansion,Amsterdam
329,ICE,InterCity-Express,en,out_expansion,Amsterdam
330,ICT,Informatie en Communicatie Technologie,nl,out_expansion,Amsterdam
331,IDFA,International Documentary Film festival Amsterdam,en,in_expansion,Amsterdam
332,IDTV,Interactieve Digitale Televisie,nl,out_expansion,Amsterdam
333,KLM,Koninklijke Luchtvaart Maatschappij,nl,out_expansion,Amsterdam
334,LHBTI,"Lesbische, Homoseksuele, Biseksuelen, Transgender en Intersekse",nl,out_expansion,Amsterdam
335,MTV,Music Television,en,out_expansion,Amsterdam
336,MVS,Man Vrouw Seksualiteit,nl,out_expansion,Amsterdam
337,NFL,National Football League,en,out_expansion,Amsterdam
338,NRC,Nieuwe Rotterdamsche Courant,nl,out_expansion,Amsterdam
339,OV,Openbaar Vervoer,nl,out_expansion,Amsterdam
340,PKN,Protestantse kerk Nederland,nl,out_expansion,Amsterdam
341,PvdA,Partij van de Arbeid,nl,out_expansion,Amsterdam
342,RAI,Rijwiel- en Automobiel-Industrie,nl,out_expansion,Amsterdam
343,RTV,Regionale Televisie,nl,out_expansion,Amsterdam
344,SALTO,Stichting Amsterdamse Lokale Televisie Omroep,nl,out_expansion,Amsterdam
345,SBS,Scandinavian Broadcasting System,en,out_expansion,Amsterdam
346,SDAP,Sociaal-Democratische Arbeiderspartij,nl,out_expansion,Amsterdam
347,TCA,Taxi Centrale Amsterdam,nl,in_expansion,Amsterdam
348,TV,Televisie,nl,out_expansion,Amsterdam
349,UNESCO,"United Nations Educational, Scientific and Cultural Organization",en,out_expansion,Amsterdam
350,UvA,Universiteit van Amsterdam,nl,in_expansion,Amsterdam
351,VU,Vrije Universiteit,nl,in_expansion,Amsterdam
352,hbo,hoger beroepsonderwijs,nl,in_expansion,Amsterdam
353,horeca,hotel restaurant en cafe,nl,out_expansion,Amsterdam
354,mm,millimeter,nl,out_expansion,Amsterdam
355,AGP,Accelerated Graphics Port,en,out_expansion,Chipset
356,PCH,Platform Controller Hub,en,in_expansion,Chipset
357,PCI-E,Peripheral Component Interconnect-Express,en,out_expansion,Chipset
358,PCI-slots,Peripheral Component Interconnect-slots,en,out_expansion,Chipset
359,USB,Universal Serial Bus,en,out_expansion,Chipset
360,pc,personal computer,en,out_expansion,Chipset
361,AGP,Accelerated Graphics Port,en,out_expansion,Chipset
362,PCH,Platform Controller Hub,en,in_expansion,Chipset
363,PCI,peripheral component interconnect,en,out_expansion,Chipset
364,PCI-E,Peripheral Component Interconnect-Express,en,out_expansion,Chipset
365,BEC,Belgisch Elektrotechnisch Comité,none_of_above,in_expansion,Bureau_voor_Normalisatie
366,BIN,Belgisch Instituut voor Normalisatie,nl,in_expansion,Bureau_voor_Normalisatie
367,CEN,Comité Européen de Normalisation,en,out_expansion,Bureau_voor_Normalisatie
368,EN,Europese Normen,nl,out_expansion,Bureau_voor_Normalisatie
369,IEC,International Electrotechnical Commission,en,out_expansion,Bureau_voor_Normalisatie
370,ISO,International Standardization Organization,en,out_expansion,Bureau_voor_Normalisatie
371,NBN,Nederlands: Bureau voor Normalisatie,nl,in_expansion,Bureau_voor_Normalisatie
372,IEC,International Electrotechnical Commission,en,out_expansion,Bureau_voor_Normalisatie
373,BEC,Belgisch Elektrotechnisch Comité,nl,in_expansion,Bureau_voor_Normalisatie
374,BIN,Belgisch Instituut voor Normalisatie,nl,in_expansion,Bureau_voor_Normalisatie
